Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Возраст,Стаж работы (лет),Уровень образования,Пол,Отдел,Зарплата,Премия
1.8,66,252,25,2,12,8,45,29,Master,Female,Marketing,44303,19400.0
5.4,17,184,14,6,17,21,32,37,Bachelor,Male,IT,83268,10000.0
6.4,70,153,4,21,20,1,43,1,Master,Female,IT,74780,28300.0
9.7,42,226,16,26,3,22,59,4,High School,Female,IT,99630,59000.0
9.2,1,202,6,0,8,23,30,39,Bachelor,Male,IT,119746,10000.0
1.1,96,259,6,13,2,21,39,35,Bachelor,Male,HR,77842,31500.0
1.1,26,260,39,22,20,12,35,24,Master,Male,IT,72887,30000.0
5.9,68,111,26,1,6,0,63,39,Bachelor,Male,Sales,42545,47700.0
8.4,79,164,46,3,3,7,36,13,PhD,Female,Marketing,82036,78000.0
3.1,16,81,25,25,11,20,51,28,High School,Female,Marketing,105827,31500.0
4.0,77,293,43,26,18,7,64,35,Master,Male,HR,58832,70100.0
9.8,39,176,29,28,20,8,27,1,Master,Female,Finance,38962,54300.0
4.3,9,107,43,4,11,7,37,19,High School,Male,HR,114274,31300.0
2.2,27,82,29,20,1,24,34,14,Bachelor,Female,Finance,77823,45500.0
2.3,61,141,32,12,10,17,50,21,High School,Male,Sales,59187,35900.0
10.0,64,284,29,22,7,21,42,8,Master,Female,Finance,81277,66200.0
2.9,32,277,13,30,15,21,48,1,Bachelor,Female,Sales,53916,22400.0
7.5,87,117,45,23,13,14,65,38,Bachelor,Female,Marketing,86347,80600.0
7.3,71,102,0,6,11,24,32,36,Master,Male,Finance,35983,10000.0
9.3,17,109,6,27,16,5,58,25,Master,Male,HR,76006,33200.0
8.1,47,232,3,21,13,15,23,16,PhD,Male,Marketing,106893,23800.0
3.2,88,110,8,30,16,26,33,0,PhD,Male,HR,105842,27800.0
6.7,22,125,43,30,6,27,22,8,Bachelor,Female,Sales,49968,69000.0
8.9,46,252,5,16,18,19,47,38,High School,Male,Sales,102293,10000.0
2.9,22,127,33,3,6,2,36,16,Master,Male,Sales,71590,35900.0
2.7,62,167,27,3,13,13,63,4,Bachelor,Male,IT,54296,16500.0
4.8,95,193,0,4,7,13,33,14,PhD,Female,HR,44838,17100.0
7.3,94,219,19,11,9,9,42,12,High School,Female,Marketing,49120,51300.0
3.7,84,218,21,29,2,19,40,33,PhD,Male,HR,109271,74100.0
9.6,7,192,16,29,2,28,24,3,Bachelor,Female,Sales,107639,48800.0
6.3,19,147,17,1,8,26,26,8,PhD,Female,Sales,38750,10000.0
5.8,72,175,41,18,15,16,27,7,High School,Male,Sales,92337,55200.0
2.1,46,149,43,27,6,19,62,31,Master,Female,Sales,45797,70500.0
1.3,92,240,10,10,5,27,61,7,Master,Female,Sales,77907,18200.0
1.4,10,203,19,24,13,26,55,13,Master,Male,Sales,101371,10000.0
7.4,76,280,26,22,15,17,47,28,Master,Male,Finance,68817,49600.0
3.9,54,164,18,0,20,16,45,32,High School,Male,IT,101081,10000.0
1.7,51,279,31,9,12,13,55,26,High School,Male,Marketing,30943,26200.0
2.1,89,216,32,19,10,27,23,39,PhD,Female,Marketing,102329,44400.0
5.1,22,102,28,29,13,9,24,2,PhD,Female,Finance,49284,53300.0
2.4,53,194,4,2,18,10,58,21,PhD,Female,Marketing,91852,10000.0
1.9,27,251,48,27,19,15,58,9,High School,Male,Sales,52998,47400.0
2.4,83,177,42,19,11,2,62,15,Master,Female,HR,89943,76200.0
8.1,34,201,39,12,16,25,39,23,High School,Female,Sales,40393,26400.0
5.2,58,116,19,21,5,7,37,26,Master,Female,Marketing,57490,61300.0
8.3,7,268,16,21,18,9,63,23,PhD,Female,IT,38237,21200.0
2.2,31,193,13,11,14,17,59,16,Master,Male,Sales,92457,10000.0
3.1,76,169,14,11,2,2,54,23,High School,Female,IT,90849,53500.0
5.2,10,269,48,13,14,19,63,25,Master,Female,Marketing,61073,33900.0
8.7,56,160,20,17,19,22,55,8,Master,Male,IT,39539,19700.0
8.7,58,101,49,17,18,0,44,22,Bachelor,Female,Sales,65625,73300.0
7.5,89,289,10,3,15,3,26,36,Master,Female,IT,76281,23200.0
4.8,55,220,43,23,5,9,40,20,High School,Female,HR,37075,84600.0
7.2,6,157,50,13,20,28,50,33,PhD,Male,HR,33313,17700.0
2.7,10,209,10,27,2,4,57,21,Bachelor,Female,IT,119292,50900.0
7.0,40,130,22,28,15,15,60,2,PhD,Male,Sales,92441,45000.0
1.6,95,210,44,30,20,19,21,24,Master,Male,Marketing,48466,61700.0
2.7,7,142,26,12,16,13,47,33,PhD,Male,Finance,43989,10000.0
8.6,95,286,29,2,17,17,61,20,PhD,Female,HR,68627,26700.0
6.9,20,205,36,28,1,18,51,11,Bachelor,Male,Sales,102072,77800.0
1.6,87,167,21,21,8,24,61,39,Bachelor,Male,HR,35822,41800.0
4.6,1,180,31,10,0,3,28,23,Bachelor,Female,HR,108118,52500.0
9.0,30,194,26,18,0,9,37,9,Bachelor,Male,HR,99110,71000.0
7.1,40,165,22,28,7,14,51,40,Master,Female,Marketing,57479,62200.0
7.8,93,117,48,1,20,13,46,20,Master,Female,Finance,57660,40000.0
8.6,93,181,42,13,18,6,31,13,Master,Male,Marketing,37388,64600.0
5.8,49,128,37,29,7,0,29,29,High School,Male,HR,49893,92800.0
3.7,76,112,15,9,18,20,24,34,Master,Female,Sales,112039,10000.0
7.5,3,280,50,11,1,23,37,37,Bachelor,Female,Sales,118090,57400.0
2.4,99,186,33,15,14,15,23,6,PhD,Female,IT,74112,47000.0
5.3,19,293,7,8,13,16,45,33,High School,Male,IT,100878,10000.0
9.5,68,187,35,14,19,0,47,3,Master,Male,Marketing,36775,57400.0
9.4,56,264,41,29,15,21,25,5,Master,Female,Sales,57559,69100.0
6.3,8,85,41,9,8,19,57,31,Bachelor,Male,IT,53622,34500.0
5.7,52,154,6,0,1,5,63,37,PhD,Male,HR,53717,26000.0
7.9,74,116,6,11,19,6,54,32,Master,Female,Finance,81997,16500.0
2.6,6,201,34,20,1,27,54,4,PhD,Male,Sales,95691,42000.0
2.0,25,265,42,23,9,15,27,33,PhD,Male,Marketing,86952,55000.0
4.9,40,256,43,16,16,23,22,1,PhD,Female,HR,74101,33800.0
1.7,23,225,18,28,18,4,49,2,Master,Male,Finance,85750,30300.0
5.1,57,193,12,21,17,25,38,4,PhD,Male,Finance,45722,11800.0
5.9,73,183,31,18,0,23,53,28,Bachelor,Female,Sales,71992,68700.0
5.3,1,256,27,12,13,20,45,22,Master,Female,IT,102471,10000.0
7.0,44,216,48,30,13,7,57,11,PhD,Female,IT,108459,87200.0
9.3,40,294,16,28,19,28,32,38,PhD,Male,Marketing,94425,22600.0
10.0,68,294,8,24,6,8,42,24,PhD,Male,HR,65452,64400.0
3.5,50,86,45,18,18,0,20,8,PhD,Female,Finance,103982,58000.0
3.0,52,189,18,28,9,7,63,8,Bachelor,Male,Finance,50677,56600.0
8.6,93,168,13,1,2,21,26,13,High School,Male,HR,66365,34600.0
2.6,42,288,31,21,18,7,29,26,Master,Female,Finance,111783,37300.0
9.0,43,275,50,27,2,12,45,19,Master,Male,Finance,94628,105400.0
5.2,8,144,11,11,1,3,64,22,Bachelor,Male,IT,63237,35300.0
1.5,9,227,0,12,14,10,42,25,Bachelor,Female,HR,106245,10000.0
2.8,41,254,10,0,9,1,20,11,Master,Female,Finance,90301,10000.0
3.6,34,205,18,30,9,27,25,2,Master,Female,Finance,109838,35400.0
8.2,26,119,45,0,9,21,46,19,Master,Female,HR,118066,30200.0
8.9,79,294,15,22,5,10,34,29,Bachelor,Female,Sales,106154,69500.0
3.4,96,232,12,18,12,2,27,2,High School,Female,Marketing,37905,48600.0
4.4,27,161,30,28,14,24,43,40,High School,Male,Finance,47697,36900.0
6.4,37,224,10,4,19,20,26,12,Master,Male,Sales,51631,10000.0
4.6,46,274,22,8,17,5,63,36,Master,Male,IT,47480,18000.0
2.5,47,108,19,26,9,17,24,5,PhD,Female,HR,114028,42100.0
9.8,94,111,16,22,11,24,44,1,High School,Male,HR,99814,50800.0
1.9,85,253,46,23,1,1,64,12,High School,Female,IT,52581,106800.0
8.3,63,223,28,22,20,13,46,3,Master,Female,IT,81221,43500.0
2.1,94,193,7,20,12,6,25,2,Master,Male,Marketing,99339,39400.0
4.3,52,273,29,13,17,14,53,35,High School,Female,Finance,76156,24700.0
5.4,53,140,4,26,17,1,64,25,PhD,Male,HR,113855,34700.0
9.1,43,89,23,6,17,5,61,25,Master,Male,IT,43714,24100.0
2.4,80,184,24,15,11,0,64,25,PhD,Female,Finance,96632,53300.0
9.1,94,216,41,2,11,13,31,17,PhD,Female,Marketing,110458,55400.0
9.8,96,209,42,7,9,25,31,12,Master,Female,Marketing,49813,57900.0
4.7,5,189,46,11,19,12,37,39,Master,Male,Sales,62854,23400.0
6.9,72,89,47,12,16,10,55,0,High School,Male,Sales,108243,58400.0
5.9,84,223,29,25,8,23,40,36,PhD,Female,IT,74362,64500.0
9.4,18,255,38,17,12,15,45,34,High School,Female,IT,85912,48700.0
9.2,38,110,5,17,16,11,43,38,Bachelor,Male,IT,85911,17300.0
9.1,42,219,4,0,3,0,52,1,Master,Female,Marketing,74041,28800.0
3.6,23,131,11,4,13,6,31,14,High School,Male,IT,54431,10000.0
6.4,52,137,42,0,14,15,57,22,High School,Female,Sales,116528,27400.0
1.5,86,105,48,18,15,14,62,5,Master,Male,Sales,35342,59800.0
7.9,36,114,24,1,19,1,44,39,Bachelor,Female,Marketing,32948,13100.0
3.4,92,247,12,3,0,1,54,35,Bachelor,Female,Marketing,96810,49900.0
7.5,91,142,16,20,20,20,39,0,PhD,Female,Sales,107511,28300.0
4.5,62,98,31,13,16,24,34,37,Master,Female,Sales,94499,22100.0
4.7,24,202,9,13,10,21,55,3,PhD,Female,Marketing,102950,10000.0
2.8,50,184,40,27,4,28,63,18,High School,Male,IT,71158,65100.0
8.2,17,268,38,0,5,14,24,26,Master,Female,HR,111292,35500.0
2.7,97,278,33,28,12,23,24,25,PhD,Female,HR,37242,62500.0
7.0,98,240,22,23,15,0,45,31,PhD,Male,Marketing,119884,69900.0
9.1,24,201,32,25,3,15,49,11,High School,Female,Finance,57690,73900.0
2.7,96,164,15,9,4,11,28,8,PhD,Male,Sales,62371,43700.0
6.7,4,246,9,23,13,23,40,5,Master,Female,Marketing,85577,10000.0
1.6,96,242,0,14,5,6,52,35,Bachelor,Male,IT,59043,37000.0
2.5,11,187,27,19,0,14,47,23,PhD,Female,HR,92677,49800.0
2.6,94,271,11,29,16,13,52,19,Master,Female,IT,84506,42900.0
3.9,30,149,21,5,7,15,63,13,Bachelor,Male,IT,67483,16300.0
6.4,30,201,6,13,20,14,45,25,Bachelor,Male,IT,75452,10000.0
6.0,57,205,39,21,14,6,50,21,High School,Male,Sales,55886,65600.0
9.0,29,249,19,14,19,17,25,31,High School,Male,HR,101192,11700.0
4.1,90,104,21,6,4,21,25,16,Bachelor,Female,Sales,45565,36200.0
1.8,84,240,37,17,9,18,61,30,Master,Female,HR,78177,55300.0
6.9,76,280,34,21,14,1,29,28,Master,Female,HR,107501,73100.0
7.4,18,214,28,4,1,11,27,27,Master,Male,IT,60041,41200.0
2.6,74,223,50,6,2,15,56,16,High School,Male,IT,97737,67400.0
9.5,49,160,6,10,8,9,49,30,PhD,Female,IT,119701,29700.0
1.8,62,195,0,17,15,14,59,21,PhD,Male,Finance,31116,10000.0
2.3,62,129,29,21,9,19,47,19,Bachelor,Male,Sales,109863,46700.0
7.0,21,299,27,1,4,11,45,24,PhD,Female,Marketing,64030,29800.0
5.5,49,113,31,16,7,13,25,28,Master,Female,Marketing,73582,53700.0
6.4,42,264,32,7,10,2,58,31,High School,Male,Marketing,52294,45900.0
1.8,92,187,47,21,0,4,40,18,PhD,Male,Marketing,71899,105700.0
9.1,54,267,38,3,7,8,62,29,Master,Male,Marketing,97983,54900.0
4.3,8,108,49,10,3,14,43,23,PhD,Male,HR,61423,55000.0
4.8,85,153,45,19,1,20,62,38,Bachelor,Male,Sales,40591,86600.0
5.7,29,135,4,5,11,2,37,34,Master,Female,Finance,104270,10000.0
4.7,17,91,43,2,8,5,63,17,High School,Male,Finance,79969,39500.0
3.9,9,139,14,30,5,27,47,4,PhD,Male,IT,57100,32500.0
3.4,32,284,33,18,13,24,56,8,Bachelor,Female,Finance,63676,26400.0
3.7,69,232,37,19,12,0,43,1,High School,Female,Finance,103460,69600.0
1.5,31,206,19,2,2,2,62,21,Master,Male,Finance,105171,28300.0
8.0,64,276,4,27,13,13,28,15,Master,Male,HR,34210,40700.0
7.8,64,257,12,23,13,12,50,28,Bachelor,Male,Finance,98990,43300.0
7.8,79,132,13,3,12,14,52,0,PhD,Female,Marketing,82844,18800.0
5.5,53,161,9,30,6,8,31,8,High School,Female,HR,72440,60900.0
8.5,80,86,40,13,14,15,54,6,PhD,Male,IT,62747,57500.0
4.3,39,289,50,24,17,20,30,23,High School,Female,Marketing,40782,52300.0
6.0,71,225,22,24,6,5,53,40,Bachelor,Female,IT,43773,74300.0
2.6,65,98,19,10,7,20,37,9,PhD,Male,Sales,107257,24700.0
2.3,49,298,25,12,17,19,27,26,Master,Male,Finance,100626,10000.0
5.7,56,90,23,3,13,6,62,32,Bachelor,Male,Sales,36417,23700.0
3.5,28,143,1,10,15,10,33,20,Master,Male,IT,64570,10000.0
6.3,83,223,19,25,9,11,46,37,High School,Male,Finance,119092,65000.0
3.1,12,230,36,22,9,18,58,24,High School,Male,HR,114539,42800.0
7.8,93,106,6,10,12,0,64,29,High School,Female,Finance,64048,40500.0
7.2,5,149,27,15,11,7,20,21,Master,Male,Marketing,94167,36400.0
9.8,95,135,16,29,1,3,61,24,Bachelor,Female,HR,115133,102600.0
4.6,22,253,25,24,10,23,22,25,PhD,Female,Finance,79507,33800.0
1.4,61,106,14,0,19,24,52,20,Bachelor,Male,Sales,115051,10000.0
6.6,30,296,21,25,20,25,53,1,Master,Female,Finance,40734,15700.0
4.1,77,300,15,11,18,0,50,16,Master,Male,Sales,104424,26800.0
9.9,100,266,2,27,19,20,39,7,Bachelor,Female,Finance,115768,34300.0
3.5,76,196,43,17,20,25,25,40,Bachelor,Male,Sales,86347,33300.0
8.8,75,100,28,5,20,7,57,10,High School,Female,Finance,64430,28600.0
8.0,75,127,17,21,3,16,44,26,PhD,Male,Marketing,90493,65000.0
9.3,92,92,10,7,19,20,32,27,High School,Female,HR,53706,10000.0
2.3,46,228,32,23,11,16,25,20,PhD,Female,Marketing,67185,46900.0
2.0,33,115,16,24,10,1,38,23,High School,Male,Marketing,90658,44900.0
7.4,59,271,36,11,13,5,58,5,Master,Female,IT,86348,54000.0
6.5,12,254,29,10,14,18,52,35,Bachelor,Female,Finance,47344,14600.0
9.8,80,268,14,11,5,23,52,0,Master,Male,Marketing,63835,41100.0
2.3,86,281,17,8,7,10,31,14,Master,Male,Marketing,71929,35400.0
8.8,0,94,12,18,1,26,56,39,PhD,Male,Sales,88643,28600.0
6.4,19,194,12,21,8,6,58,21,Bachelor,Female,Marketing,82870,40000.0
8.1,44,208,27,11,19,4,36,24,PhD,Female,IT,110063,30900.0
5.2,72,84,47,30,13,3,29,21,Master,Male,Sales,48905,95000.0
4.6,70,112,5,7,11,14,54,28,PhD,Male,Marketing,95645,10000.0
1.4,30,288,8,20,9,22,28,24,Master,Male,IT,118312,10000.0
1.2,20,96,40,19,9,18,60,11,Bachelor,Female,Sales,78003,40900.0
8.9,20,279,8,25,19,7,28,23,Master,Female,Finance,106659,24300.0
2.3,24,157,6,23,14,20,60,21,PhD,Female,Marketing,51564,10000.0
5.4,38,111,9,2,8,6,21,22,High School,Female,IT,36760,12200.0
8.3,26,192,46,8,16,13,62,18,Master,Female,HR,104233,37400.0
8.3,8,193,23,19,10,14,42,3,Bachelor,Male,HR,52372,36500.0
3.5,58,199,8,9,6,12,32,18,High School,Male,Marketing,47779,21900.0
5.3,29,214,4,0,20,17,55,25,PhD,Male,Marketing,32290,10000.0
6.5,58,105,37,27,8,16,37,3,Bachelor,Male,IT,99416,75900.0
1.2,73,116,30,17,11,20,25,1,High School,Male,Finance,44945,37800.0
7.1,91,103,26,14,9,1,37,25,High School,Male,IT,110859,69500.0
6.1,57,187,48,20,6,10,29,35,Bachelor,Male,Sales,47917,85300.0
1.1,42,160,34,2,5,15,55,22,PhD,Male,Sales,97674,26800.0
2.6,26,198,39,5,5,3,33,30,PhD,Female,HR,117665,46500.0
5.7,29,89,50,30,5,17,35,21,High School,Male,HR,57477,88100.0
9.6,53,183,34,11,4,27,23,29,Bachelor,Female,Marketing,55912,50600.0
4.2,34,281,2,23,4,11,59,5,Master,Female,Finance,58998,36100.0
2.2,71,137,20,30,7,22,32,19,Bachelor,Male,Finance,77700,54700.0
1.4,65,166,38,28,8,4,63,0,Bachelor,Female,Finance,82388,82300.0
7.7,47,242,35,14,3,20,52,33,High School,Female,Marketing,43675,59500.0
2.1,75,194,46,16,14,9,48,0,Master,Male,Marketing,66352,59700.0
6.3,92,149,48,9,9,27,25,31,Master,Female,IT,35956,56700.0
6.6,35,181,11,11,11,6,45,27,Bachelor,Female,Sales,45588,23200.0
9.4,20,106,33,11,0,2,61,10,High School,Female,IT,49273,72300.0
3.4,33,260,24,17,6,15,62,1,PhD,Female,HR,67097,39200.0
2.7,17,175,25,22,5,11,52,38,Master,Female,IT,82880,47500.0
9.9,44,162,15,25,3,16,20,27,High School,Male,IT,106559,63500.0
4.8,20,83,11,14,1,19,54,0,Bachelor,Male,Sales,74188,26600.0
2.9,18,143,21,29,15,7,51,30,PhD,Female,Marketing,94389,38700.0
8.5,66,281,39,30,11,4,26,15,High School,Female,HR,104062,94800.0
3.4,8,168,49,20,7,13,64,29,Bachelor,Male,Sales,70832,61200.0
8.7,19,136,45,14,11,5,20,28,Bachelor,Female,Sales,102696,62100.0
2.4,64,268,34,19,17,22,36,23,PhD,Male,IT,32215,30500.0
5.4,9,300,8,15,16,24,27,39,Master,Male,Finance,42426,10000.0
7.0,54,238,36,9,12,28,22,10,High School,Female,Marketing,102034,27700.0
9.7,57,253,38,15,19,20,28,2,Master,Male,IT,49382,39000.0
1.6,82,117,9,2,3,6,34,21,Bachelor,Female,Marketing,113998,27800.0
4.9,41,264,7,28,6,6,49,28,Master,Female,Finance,76601,53100.0
5.8,59,275,1,3,3,14,51,35,High School,Male,Marketing,99533,14800.0
1.9,47,234,13,11,1,4,53,3,High School,Male,Sales,103748,41400.0
8.2,51,231,31,6,15,19,51,14,Bachelor,Male,IT,64052,22700.0
2.9,61,133,13,16,18,23,65,38,Bachelor,Female,IT,82732,10000.0
2.0,38,218,40,26,8,3,31,16,PhD,Male,Sales,34484,75400.0
5.9,52,223,39,5,2,20,41,22,High School,Female,IT,34176,49900.0
1.1,13,165,5,14,1,25,43,0,PhD,Male,Sales,75430,10000.0
4.3,25,151,37,19,16,3,23,5,PhD,Male,IT,61738,46600.0
4.7,60,188,45,12,18,3,50,15,High School,Male,HR,60078,51400.0
9.3,29,205,46,16,20,25,51,38,Master,Male,Finance,58932,32300.0
7.4,75,141,28,19,16,7,48,3,Bachelor,Male,Marketing,105695,54800.0
9.1,59,83,13,15,14,0,30,31,Master,Male,Sales,71346,43400.0
6.9,3,152,2,19,9,12,52,19,Bachelor,Male,Marketing,115477,15200.0
1.4,52,80,20,9,4,17,57,39,High School,Male,HR,53763,26900.0
2.0,61,185,37,7,15,8,59,5,Bachelor,Female,IT,38517,31800.0
6.1,62,105,12,0,5,4,54,17,Master,Male,HR,113396,28800.0
3.4,61,292,26,14,16,23,36,5,PhD,Female,HR,118341,17100.0
3.7,26,268,21,17,16,25,55,35,PhD,Male,HR,95333,10000.0
5.1,19,233,7,15,10,18,46,3,PhD,Male,Sales,113397,10000.0
5.0,25,99,40,30,14,3,21,6,High School,Male,Marketing,48304,71500.0
8.0,67,180,41,16,18,25,46,4,High School,Male,IT,31258,40100.0
9.4,69,99,36,29,3,11,51,17,Master,Female,HR,56244,102000.0
7.1,79,96,5,21,8,8,63,17,High School,Male,IT,67664,50400.0
6.9,58,212,14,30,13,8,44,39,PhD,Male,IT,54883,56200.0
6.6,77,160,15,1,5,12,33,8,Bachelor,Male,Marketing,72312,30800.0
4.4,59,159,20,0,12,23,65,14,PhD,Female,IT,57430,10000.0
8.0,15,297,33,11,12,21,56,26,Master,Male,HR,100614,25000.0
9.9,77,240,47,29,8,8,30,26,High School,Male,IT,60410,109400.0
4.4,24,86,19,6,13,1,48,22,High School,Female,Marketing,35310,17000.0
3.4,81,216,32,18,7,10,54,8,High School,Male,Finance,93841,66100.0
4.2,22,144,46,14,16,0,44,33,High School,Male,HR,52429,50000.0
9.6,16,197,38,20,4,4,25,39,Master,Male,Marketing,34252,80000.0
1.6,84,186,41,0,16,17,42,37,Bachelor,Male,Marketing,107577,20400.0
6.0,35,97,18,18,18,25,34,35,High School,Female,IT,54438,10000.0
5.7,71,92,3,27,13,24,57,21,High School,Male,IT,54083,26200.0
5.5,77,91,28,29,8,24,35,38,PhD,Male,IT,76382,65600.0
7.9,23,160,23,20,12,8,47,11,High School,Female,HR,59065,43700.0
6.9,5,226,28,23,12,18,48,1,PhD,Female,Marketing,101969,35800.0
4.4,54,279,22,25,6,25,20,4,Master,Female,Finance,87243,47500.0
10.0,24,110,7,26,4,13,35,0,Master,Male,IT,71900,52200.0
3.3,24,203,10,13,12,13,55,9,High School,Female,HR,96875,10000.0
8.9,73,91,27,1,11,6,36,31,Bachelor,Female,HR,67957,40200.0
3.9,85,197,25,3,4,5,46,13,High School,Male,Finance,92846,49800.0
4.9,17,105,1,18,1,13,31,13,High School,Male,Finance,60258,27900.0
7.8,92,117,0,18,2,14,45,35,Bachelor,Male,Finance,45587,52200.0
8.1,61,298,25,25,3,23,59,8,Bachelor,Male,IT,80266,68000.0
9.1,36,130,8,18,8,23,45,20,PhD,Male,IT,96167,25000.0
7.0,11,119,12,20,0,20,62,17,High School,Male,HR,103257,39300.0
8.5,22,242,28,2,11,2,38,36,PhD,Female,Sales,71882,30600.0
1.4,68,275,48,24,4,17,20,40,High School,Male,Finance,101362,82200.0
3.2,99,91,45,3,6,5,46,9,Master,Female,Finance,88250,68600.0
2.5,96,189,21,14,3,16,58,30,Bachelor,Male,HR,85676,53800.0
1.9,98,83,45,23,17,6,25,17,Bachelor,Male,Marketing,104169,72700.0
6.4,89,163,31,20,1,28,54,19,High School,Female,IT,68388,70500.0
5.7,37,160,16,26,13,4,32,10,High School,Male,HR,96397,47500.0
1.9,5,293,10,29,7,21,21,1,PhD,Male,IT,103779,23800.0
8.4,45,138,2,14,6,14,45,13,PhD,Male,IT,71933,27300.0
2.9,79,289,46,2,8,16,46,12,Bachelor,Male,IT,59910,46500.0
8.0,32,218,47,18,0,5,54,13,High School,Male,HR,111183,94600.0
8.8,73,296,19,1,14,2,61,20,High School,Female,HR,103200,30000.0
2.3,2,281,23,12,16,24,36,7,Bachelor,Female,Finance,106659,10000.0
2.5,87,146,26,28,12,2,24,23,Master,Male,HR,42894,73100.0
7.7,7,243,30,13,12,19,58,13,PhD,Female,HR,66686,24000.0
3.7,39,251,11,23,8,1,43,38,High School,Male,Sales,39191,47600.0
2.1,56,279,41,6,3,17,32,10,Master,Female,HR,116204,48000.0
4.2,94,238,6,1,7,12,60,0,Master,Female,IT,46139,18100.0
1.8,92,265,28,2,10,15,43,17,High School,Male,IT,107197,27200.0
5.9,79,129,15,14,9,27,53,28,High School,Male,HR,115355,26500.0
7.6,89,105,39,29,2,11,28,17,PhD,Male,Marketing,80347,109400.0
6.0,56,144,6,7,15,15,62,25,PhD,Female,Sales,58198,10000.0
9.1,57,186,21,16,5,0,56,14,Master,Female,Sales,65259,70300.0
9.8,88,222,28,26,6,25,51,25,Bachelor,Male,Finance,93771,76000.0
8.0,2,295,3,27,13,5,30,7,Bachelor,Male,Marketing,30913,29100.0
3.4,48,291,35,26,18,17,23,5,PhD,Male,Marketing,83338,42200.0
8.4,84,190,35,27,16,20,42,10,High School,Female,Marketing,89420,65500.0
7.5,47,239,39,4,3,25,31,4,PhD,Female,HR,47924,43100.0
8.5,74,299,1,2,14,24,32,34,Master,Male,Sales,81537,10000.0
2.0,55,253,19,3,2,7,29,9,Master,Female,Marketing,38873,33000.0
7.1,44,188,42,1,16,16,20,16,PhD,Male,Sales,40427,22900.0
2.6,19,108,42,6,17,25,30,30,High School,Female,Sales,50356,10000.0
9.6,58,220,9,7,10,2,43,11,High School,Female,Marketing,42550,34100.0
5.7,5,147,16,30,2,28,49,20,Master,Male,Finance,57033,41900.0
3.8,44,256,29,11,0,23,62,34,Bachelor,Male,Finance,73756,43300.0
7.2,69,207,45,2,12,0,61,10,High School,Male,HR,77086,59100.0
8.5,39,127,29,26,5,0,32,8,High School,Female,IT,48792,86700.0
7.0,5,264,40,6,19,10,21,38,Master,Female,IT,64950,16500.0
1.1,49,222,16,5,5,7,25,19,Bachelor,Male,Marketing,51058,23400.0
3.6,71,238,11,10,10,5,41,8,PhD,Female,HR,113004,29500.0
8.0,50,235,3,17,2,4,56,1,Bachelor,Male,Marketing,110495,51500.0
2.2,45,252,22,22,13,18,28,36,Bachelor,Male,HR,43400,28900.0
4.2,13,250,44,0,15,1,22,9,Bachelor,Male,Marketing,37134,25300.0
1.4,17,171,37,27,12,5,38,33,Master,Male,Sales,71675,56400.0
8.6,48,152,31,9,5,18,31,5,Bachelor,Female,HR,117023,48100.0
3.8,93,207,21,20,3,22,46,5,Master,Male,Marketing,103348,58500.0
2.6,55,257,39,2,11,12,22,0,Bachelor,Male,IT,66805,29700.0
5.8,91,143,23,9,4,4,30,35,Bachelor,Male,HR,100806,63400.0
7.7,43,109,3,11,2,17,59,10,Master,Male,Marketing,57180,26800.0
9.3,99,183,30,22,17,1,52,6,Bachelor,Female,Marketing,116824,76300.0
9.6,89,162,26,0,15,11,65,20,High School,Male,Sales,117782,30900.0
2.2,41,88,25,10,16,18,43,19,PhD,Male,Sales,66519,10000.0
4.2,25,171,13,18,5,25,35,31,Master,Female,Sales,51639,20900.0
8.0,93,230,48,27,8,28,60,15,Master,Male,Sales,109432,88400.0
4.9,59,125,13,30,1,8,24,15,PhD,Male,HR,69382,75500.0
7.9,57,262,13,23,2,5,21,2,High School,Female,IT,62809,71400.0
5.0,83,230,11,3,8,9,48,9,High School,Male,Finance,30942,25400.0
6.0,43,81,29,28,14,26,50,10,High School,Male,IT,98953,41900.0
9.9,3,131,33,1,13,26,29,2,PhD,Female,Finance,118509,10000.0
6.8,9,99,29,2,7,24,33,17,PhD,Female,Sales,61365,10300.0
2.4,42,83,25,10,9,28,42,12,PhD,Male,IT,95686,11400.0
7.0,4,121,37,16,1,5,55,16,PhD,Female,Sales,86390,69200.0
3.3,93,256,47,30,12,24,48,21,PhD,Female,IT,82025,78500.0
2.4,63,93,16,14,20,25,63,35,PhD,Female,HR,115069,10000.0
7.2,87,272,49,12,17,16,56,31,Master,Female,HR,64169,57500.0
8.0,51,149,37,6,13,7,27,40,High School,Male,Sales,35740,44300.0
4.3,39,235,12,29,3,20,59,32,Master,Female,Sales,81785,49800.0
5.9,75,208,28,12,5,26,22,12,Bachelor,Female,Marketing,34924,44300.0
7.1,39,96,16,28,16,9,21,11,Master,Female,Marketing,55854,42900.0
8.6,9,202,45,7,6,27,62,4,Bachelor,Male,HR,94070,36400.0
1.8,71,248,23,6,1,3,57,30,Bachelor,Female,Sales,62946,51900.0
4.0,88,93,40,30,19,4,32,32,Bachelor,Female,IT,98882,77400.0
3.1,8,251,21,28,13,0,29,34,Bachelor,Female,Sales,81506,45600.0
3.4,71,81,48,27,3,7,44,28,Bachelor,Male,Finance,99553,103600.0
