Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Премия
6.5,84,141,26,26,6,6,85200.0
5.9,62,150,35,3,6,11,46900.0
9.2,42,250,36,22,11,25,53000.0
4.3,23,120,43,0,0,12,46500.0
6.5,35,140,19,20,19,0,34500.0
7.1,89,289,4,0,3,17,21900.0
9.5,43,154,45,13,16,26,38400.0
4.1,67,294,11,10,2,9,41300.0
4.5,30,125,26,7,15,25,10000.0
8.1,52,121,7,6,19,22,10000.0
1.8,0,211,34,25,4,3,64100.0
6.7,44,82,17,23,15,23,25100.0
6.1,28,113,36,4,14,4,30600.0
9.5,10,131,10,4,13,10,10000.0
6.1,58,111,2,19,20,23,10000.0
7.3,60,113,15,27,1,0,86100.0
3.3,34,257,14,29,11,20,32300.0
4.9,37,181,11,29,6,28,35400.0
8.5,52,147,26,9,2,1,67100.0
1.6,25,92,8,19,10,17,10200.0
7.8,0,140,27,7,15,19,10000.0
5.7,97,83,21,4,11,25,20500.0
6.7,45,144,19,9,5,13,36400.0
6.7,95,271,3,27,8,25,44400.0
4.6,58,145,1,13,16,3,12100.0
1.6,91,105,48,28,18,21,63500.0
10.0,21,80,14,5,5,7,30800.0
6.3,99,93,22,28,8,12,78300.0
5.1,76,120,2,27,18,18,21500.0
1.6,52,252,36,5,16,16,14300.0
9.9,35,174,35,17,14,10,52800.0
2.5,42,236,36,15,2,2,70100.0
8.6,87,287,15,25,15,20,45800.0
7.4,92,177,37,20,10,8,81400.0
2.6,79,118,5,30,15,13,35900.0
7.2,2,270,3,16,12,28,10000.0
2.6,97,122,20,27,2,24,66800.0
5.7,5,205,47,16,17,15,34900.0
9.9,13,233,46,20,2,6,89700.0
7.0,80,180,38,26,2,9,102000.0
9.2,49,147,29,14,2,9,70100.0
6.5,29,156,2,19,17,23,10000.0
4.7,59,92,15,2,11,23,10000.0
7.7,79,80,13,8,0,0,64100.0
2.1,42,200,6,15,17,27,10000.0
6.3,99,117,29,26,15,14,66300.0
2.2,40,287,29,29,19,18,32900.0
4.8,76,199,2,16,5,14,34400.0
5.3,82,238,40,27,19,27,50700.0
4.1,40,212,5,30,1,6,62200.0
1.2,40,238,33,26,5,24,52400.0
8.2,52,209,49,14,19,11,53000.0
1.8,77,233,29,5,15,5,28200.0
6.8,87,211,47,5,7,14,66200.0
5.1,57,286,20,27,5,16,61800.0
9.5,1,194,11,18,0,19,38300.0
7.9,86,171,49,12,20,7,61600.0
3.2,90,117,36,27,19,8,63900.0
1.3,40,93,44,27,18,12,51100.0
1.6,97,112,48,23,0,28,86800.0
3.8,60,198,50,22,10,0,88600.0
6.0,97,214,25,1,7,18,35600.0
3.3,56,96,16,19,16,4,31900.0
4.7,47,149,2,6,10,20,10000.0
2.1,38,143,46,8,16,0,41600.0
5.8,24,182,1,19,3,28,14300.0
4.3,94,126,37,18,16,19,49800.0
6.5,47,184,26,1,12,7,23600.0
3.9,75,96,5,11,14,16,10000.0
3.0,19,218,23,1,19,10,10000.0
3.5,45,127,23,20,9,14,41500.0
10.0,66,198,8,14,9,28,22800.0
2.9,2,137,26,26,17,17,20400.0
8.2,54,132,48,27,8,9,96100.0
5.4,19,224,45,9,7,11,50000.0
9.0,97,286,8,17,18,11,33600.0
9.5,49,207,42,26,10,21,73700.0
4.7,97,219,4,15,18,9,20000.0
4.5,57,190,46,27,14,2,82600.0
5.1,49,262,4,22,17,3,24900.0
7.8,94,116,50,20,12,3,96800.0
3.4,14,112,20,10,0,11,35000.0
2.7,13,277,10,19,17,3,10800.0
6.1,52,190,25,12,11,8,40800.0
9.4,91,264,8,11,9,25,27600.0
8.0,22,202,24,4,14,22,10000.0
5.3,33,144,35,23,0,2,88000.0
2.6,93,255,50,3,11,28,37600.0
4.1,62,294,19,13,1,14,49300.0
6.9,63,264,33,3,2,10,56200.0
9.4,31,216,36,24,17,4,62100.0
7.9,8,237,23,4,13,14,10000.0
5.2,17,191,49,6,5,0,63500.0
2.2,8,276,47,18,9,17,45800.0
8.2,62,105,50,30,8,13,101000.0
2.6,18,113,38,12,0,27,39600.0
5.2,25,89,14,24,20,6,21900.0
5.7,77,208,35,8,13,15,40500.0
3.8,15,86,10,5,5,5,14600.0
1.2,54,118,26,12,15,1,31600.0
3.7,67,267,49,8,3,3,79500.0
7.6,21,120,2,2,7,5,10000.0
8.1,22,145,10,10,16,22,10000.0
2.0,89,132,34,11,13,9,46200.0
9.4,14,124,50,24,12,22,63000.0
1.7,42,151,29,4,5,17,24000.0
5.9,25,205,21,19,13,18,24800.0
9.4,89,130,15,27,11,20,59000.0
4.4,59,199,0,14,4,10,29500.0
6.7,73,97,3,26,9,25,34300.0
6.0,20,249,8,28,8,21,31000.0
8.8,98,183,49,4,11,6,74000.0
6.7,95,217,41,27,12,3,96400.0
3.9,65,235,36,21,17,8,52800.0
6.9,100,105,20,8,8,5,54800.0
2.1,92,220,7,19,11,8,37300.0
3.4,75,157,47,8,11,3,63300.0
3.2,15,183,29,16,12,7,32900.0
7.5,16,177,6,2,0,19,10000.0
7.3,10,150,23,30,14,4,53600.0
3.1,5,280,24,13,10,2,29200.0
5.1,22,219,10,0,18,26,10000.0
1.2,21,262,32,24,4,26,42700.0
9.7,42,268,23,29,1,2,94500.0
8.7,27,104,41,24,9,26,58500.0
3.5,50,159,47,6,11,6,50000.0
8.6,29,131,34,29,13,26,51400.0
6.5,80,177,36,13,15,23,39500.0
5.4,52,100,35,1,3,10,46900.0
6.7,43,204,27,20,9,16,49300.0
6.4,98,203,18,28,5,13,79200.0
7.6,34,133,41,1,0,12,55900.0
9.2,55,165,22,16,6,16,52900.0
2.4,98,132,46,3,7,10,60700.0
8.3,7,192,23,3,13,8,12200.0
2.2,60,224,31,23,12,14,49900.0
1.1,1,146,43,7,2,15,37000.0
3.0,49,116,39,12,1,5,70700.0
8.7,97,117,7,21,18,17,32000.0
8.9,75,240,26,10,3,25,50300.0
4.0,99,262,0,14,18,21,10000.0
9.6,36,208,27,10,2,26,42000.0
4.9,36,142,22,14,5,17,36600.0
3.5,84,215,46,29,8,22,83700.0
2.3,64,87,11,15,19,18,10000.0
3.5,97,115,29,26,12,24,56100.0
4.6,14,125,38,24,4,26,53400.0
1.5,91,123,48,19,1,4,100800.0
6.6,8,292,41,19,7,17,54100.0
2.0,15,245,19,24,5,14,39500.0
7.4,11,187,45,4,3,6,57100.0
5.9,19,103,11,1,1,28,10000.0
7.6,92,190,32,1,0,8,68300.0
2.7,76,295,42,3,2,20,50700.0
4.0,27,291,8,17,5,11,28600.0
8.5,18,157,43,2,8,26,26400.0
2.0,62,205,29,9,6,9,44100.0
2.5,43,156,34,2,2,9,41900.0
6.5,36,280,35,11,10,25,30300.0
7.2,4,187,33,4,2,8,42600.0
5.3,57,143,45,6,12,1,56700.0
1.8,40,171,4,2,8,14,10000.0
2.2,40,137,0,15,14,3,10000.0
7.1,44,93,2,27,20,16,13900.0
8.9,14,143,44,1,7,18,35500.0
2.8,100,236,18,17,11,14,43100.0
7.7,32,250,36,21,14,24,40500.0
6.0,30,233,3,20,0,12,42000.0
9.4,78,147,27,14,6,10,68200.0
1.5,72,198,33,21,19,5,46100.0
9.0,12,192,40,25,15,19,50100.0
5.2,15,223,31,17,8,2,53400.0
6.0,46,203,48,24,12,21,64800.0
2.6,3,260,50,1,4,8,41600.0
3.6,86,151,2,8,1,0,45000.0
1.9,64,113,25,6,4,25,24000.0
5.9,13,260,33,15,8,16,39200.0
4.3,10,131,43,20,16,4,48600.0
1.7,53,266,9,20,14,3,27300.0
7.4,30,223,11,22,6,6,49800.0
2.6,64,90,24,0,8,7,25400.0
6.8,98,86,33,26,14,12,75000.0
9.6,90,241,31,11,12,9,60700.0
7.2,88,280,0,21,15,20,22300.0
3.4,97,178,34,15,16,27,33400.0
3.1,79,187,35,17,5,2,78400.0
3.5,85,215,36,16,7,4,74500.0
4.3,29,270,21,7,18,12,10000.0
4.8,93,257,24,11,8,26,36000.0
4.6,24,288,10,7,14,10,10000.0
3.0,25,294,50,2,11,18,26500.0
9.6,30,106,16,21,5,24,41700.0
8.1,98,199,15,5,7,8,46100.0
4.6,99,298,1,27,1,1,77400.0
4.3,48,95,9,22,18,1,28000.0
5.2,83,178,29,8,4,28,40300.0
7.9,96,268,28,14,17,26,33600.0
7.4,23,91,6,2,9,27,10000.0
2.5,21,115,18,2,15,18,10000.0
7.8,98,204,26,21,6,5,85500.0
6.7,77,151,25,27,12,12,66000.0
2.7,89,255,23,18,1,23,57100.0
5.1,87,295,7,7,17,25,10000.0
8.2,8,166,12,15,18,24,10000.0
2.7,60,272,15,11,7,15,25900.0
3.3,50,154,8,7,2,26,10100.0
4.8,81,173,2,11,12,6,22400.0
1.1,31,178,7,0,4,25,10000.0
2.6,33,121,39,25,0,10,81600.0
3.6,5,201,18,19,8,21,18200.0
3.2,23,144,7,9,4,2,23800.0
9.2,53,269,46,27,8,7,97800.0
4.5,20,164,8,14,8,10,18000.0
5.4,92,240,22,29,0,20,83900.0
5.1,10,113,14,10,2,0,38200.0
1.1,63,229,7,25,11,2,41600.0
8.2,91,182,15,4,8,8,40700.0
6.1,59,128,40,28,15,22,59900.0
6.2,72,250,48,15,18,12,56500.0
5.4,12,114,16,5,4,1,28900.0
4.2,43,187,14,14,5,18,28300.0
9.5,68,248,40,25,7,2,100900.0
5.7,67,173,11,19,0,22,49000.0
9.7,23,136,47,23,12,16,67800.0
9.7,7,139,2,6,12,11,10000.0
7.8,34,239,40,8,17,0,43800.0
5.8,3,87,23,13,11,26,10000.0
1.5,86,217,9,27,17,27,17300.0
9.4,3,96,14,11,15,20,10000.0
3.9,8,188,12,2,4,3,14200.0
10.0,84,179,11,27,19,3,55700.0
2.1,50,159,31,16,10,1,53200.0
9.0,35,223,36,3,10,4,45000.0
9.5,5,132,41,18,5,24,54500.0
1.1,66,227,43,28,13,17,64000.0
3.8,12,196,36,13,4,22,36700.0
8.3,59,212,0,5,14,11,10000.0
8.4,90,232,20,11,4,20,52300.0
9.6,51,187,44,28,15,4,86500.0
9.8,91,172,0,16,0,26,44900.0
8.5,10,269,14,9,1,23,22500.0
3.0,79,280,19,7,8,8,35200.0
6.9,47,201,37,27,8,6,83400.0
1.8,70,199,15,9,14,2,23100.0
6.9,86,145,10,27,0,13,77100.0
6.0,40,175,29,22,15,24,32000.0
3.0,61,186,39,11,17,28,17800.0
3.7,2,280,17,30,18,15,19000.0
6.2,57,195,34,26,15,13,59500.0
7.5,29,139,15,16,13,4,32700.0
9.6,25,249,44,16,12,11,59700.0
7.0,59,207,46,23,3,2,104200.0
7.5,92,92,15,13,9,22,37100.0
6.2,39,266,38,16,3,5,75100.0
2.0,100,159,27,21,0,19,73500.0
8.8,45,150,25,3,15,11,19600.0
7.4,76,282,44,28,15,20,73600.0
5.1,2,246,42,14,16,24,17800.0
2.0,22,260,29,24,3,3,66600.0
9.0,21,133,21,4,1,16,33300.0
9.0,80,137,22,11,2,19,57500.0
2.0,41,276,15,13,17,10,10000.0
7.1,60,93,42,21,4,19,78700.0
4.1,23,266,43,30,2,28,71100.0
1.1,10,159,32,12,16,8,15200.0
3.8,48,217,29,8,15,19,14000.0
4.0,32,84,29,10,19,16,10000.0
2.4,6,126,50,15,11,7,50100.0
7.9,72,167,43,22,2,13,96400.0
6.1,61,213,14,23,13,26,27000.0
2.8,22,242,6,14,3,3,30200.0
2.0,8,281,38,12,4,6,48400.0
6.5,22,224,28,7,9,23,17100.0
4.4,36,116,4,24,15,16,13600.0
2.6,33,211,3,0,20,25,10000.0
9.5,18,258,48,0,0,12,60400.0
2.9,66,201,34,4,16,22,11600.0
5.8,47,280,28,3,4,24,26200.0
8.1,29,129,5,28,15,5,36900.0
9.6,76,262,49,9,5,4,90500.0
9.8,80,157,43,8,16,8,58600.0
9.6,79,167,5,28,6,17,60900.0
6.4,65,147,43,3,14,0,51800.0
4.6,36,174,7,9,11,18,10000.0
1.5,10,94,38,9,11,12,23500.0
8.4,63,191,31,13,18,0,50200.0
2.4,65,158,23,29,18,10,44800.0
1.7,78,246,14,15,0,8,55300.0
5.6,33,198,14,21,14,12,26600.0
4.0,18,170,49,16,7,24,48400.0
4.2,5,168,49,19,3,11,70400.0
4.2,4,212,0,1,6,18,10000.0
5.1,35,120,49,11,7,4,68200.0
7.1,58,193,12,22,12,5,47600.0
3.3,17,172,1,26,8,22,13700.0
6.1,62,268,42,16,14,21,47800.0
4.8,41,157,0,13,20,22,10000.0
5.1,18,86,41,23,9,13,60100.0
4.2,72,173,38,2,6,22,37000.0
5.2,62,179,2,1,3,1,25500.0
1.2,64,145,2,3,18,23,10000.0
7.8,14,280,9,23,9,3,42300.0
1.8,19,157,37,21,10,7,50800.0
8.8,4,170,44,6,17,5,32800.0
9.6,10,183,32,7,7,5,45700.0
2.1,37,188,33,14,4,19,42300.0
5.2,55,95,48,4,11,19,39900.0
3.6,98,261,42,18,5,14,81600.0
8.1,70,134,48,14,13,22,58200.0
7.7,29,149,27,13,3,28,36600.0
1.0,15,164,16,9,19,11,10000.0
2.9,72,156,45,26,3,10,95400.0
8.2,39,280,34,14,10,0,63100.0
6.4,75,248,28,5,16,26,12800.0
7.4,55,213,7,4,5,10,24300.0
3.5,80,263,50,16,11,18,65000.0
3.0,94,296,37,0,14,27,16200.0
2.9,94,222,36,12,1,22,64000.0
2.0,37,160,6,9,9,2,14600.0
9.9,76,143,0,4,6,14,22600.0
8.9,3,207,33,25,9,2,69200.0
2.1,33,266,48,22,10,2,73100.0
9.9,6,113,15,30,15,11,40600.0
5.4,9,145,21,24,17,22,14500.0
4.1,91,221,1,3,9,20,10000.0
6.5,96,82,2,0,0,21,22800.0
4.6,2,276,0,1,18,8,10000.0
8.6,57,261,31,7,14,18,29800.0
3.5,73,108,33,12,13,22,31900.0
3.5,25,160,39,4,8,1,42500.0
2.9,71,92,37,13,19,28,17600.0
5.1,16,127,9,3,14,23,10000.0
8.8,65,86,49,24,5,13,99100.0
1.9,89,209,4,18,11,27,12500.0
6.5,24,289,15,6,1,19,23200.0
6.0,71,127,21,25,19,2,51800.0
3.0,100,145,40,19,19,14,52500.0
5.8,32,115,4,4,20,27,10000.0
5.6,44,136,22,21,17,17,26900.0
6.0,53,144,12,30,20,21,23900.0
3.6,10,242,1,9,20,8,10000.0
8.6,16,254,32,9,5,10,47500.0
3.9,91,214,32,30,9,15,79100.0
3.2,36,282,36,16,12,4,49200.0
1.5,80,246,28,0,6,4,39000.0
4.4,37,158,14,2,15,13,10000.0
4.7,38,299,1,28,14,3,32800.0
5.6,0,248,28,5,15,0,16700.0
4.2,36,147,35,20,12,5,55200.0
6.2,96,194,5,17,0,9,62700.0
3.7,13,296,29,26,9,2,59300.0
4.3,11,191,42,18,16,11,37900.0
8.1,65,191,32,26,8,27,63700.0
5.1,62,294,15,11,11,5,33300.0
8.6,51,223,0,0,0,1,31500.0
4.2,70,233,37,8,11,26,30400.0
8.7,10,117,3,15,11,16,10000.0
4.1,71,206,39,29,10,11,81000.0
7.7,94,284,8,25,12,19,46100.0
4.6,82,102,26,19,0,19,69300.0
7.6,90,151,48,18,14,20,69200.0
8.9,28,293,9,14,15,1,25200.0
4.8,9,245,50,11,19,21,19800.0
6.1,36,258,8,13,11,5,23500.0
4.6,72,292,23,30,19,12,48800.0
6.6,48,166,15,24,12,21,33600.0
7.8,27,267,6,10,3,24,14700.0
1.1,59,252,36,18,7,13,55900.0
4.6,98,156,48,25,2,28,92100.0
7.7,87,274,22,26,2,5,93500.0
5.6,80,179,43,2,19,7,36200.0
4.3,95,177,1,4,8,11,17100.0
1.4,64,92,29,8,3,26,31000.0
2.7,71,134,25,2,7,7,33700.0
6.4,84,183,43,25,1,2,114500.0
8.1,13,218,19,19,12,15,28600.0
8.2,39,137,45,4,3,27,46100.0
6.2,33,137,30,21,2,20,59800.0
3.6,65,192,25,14,16,23,17700.0
5.5,62,263,37,19,2,11,80100.0
2.7,15,112,15,2,7,3,10900.0
8.3,30,190,30,23,5,9,71100.0
9.1,53,89,27,22,14,19,47100.0
4.6,67,217,46,18,13,15,61300.0
5.8,57,105,34,29,18,8,62200.0
1.7,23,253,26,13,19,4,13800.0
6.2,11,210,17,4,16,19,10000.0
5.5,99,165,16,18,1,27,54700.0
4.8,50,205,9,25,11,3,46100.0
3.7,34,194,39,1,15,3,25100.0
8.8,30,217,41,12,11,15,48600.0
7.2,39,129,7,11,13,7,16600.0
8.9,46,239,20,7,18,20,10000.0
8.8,100,92,43,19,14,6,85100.0
7.4,71,125,30,22,13,10,63100.0
6.7,72,268,30,6,8,10,48000.0
6.9,96,119,28,0,1,17,51600.0
6.7,6,173,19,16,4,0,50200.0
4.7,29,296,24,11,12,27,10000.0
7.9,66,233,2,26,9,6,52600.0
6.3,22,254,16,29,10,2,56700.0
1.0,47,146,9,22,20,5,13100.0
2.8,7,113,27,4,3,15,19700.0
9.8,84,202,46,18,3,1,110800.0
4.8,35,253,35,13,7,12,48600.0
7.5,81,116,27,12,9,24,42300.0
2.3,48,144,38,19,4,9,68500.0
2.5,83,120,44,28,18,9,70900.0
2.5,89,132,16,23,3,9,67200.0
3.2,71,124,25,11,14,15,26200.0
8.8,96,180,8,19,8,15,51900.0
5.3,86,280,11,21,3,0,72900.0
5.7,54,270,26,16,20,2,35600.0
1.6,20,230,45,21,15,23,32700.0
1.1,31,186,46,23,13,7,59000.0
6.2,68,158,21,6,16,3,27800.0
7.6,32,80,36,16,13,2,56800.0
1.5,39,83,32,26,9,13,54700.0
3.4,87,101,39,9,2,2,79400.0
2.8,70,122,8,22,4,21,38600.0
5.0,89,256,39,2,18,24,18700.0
7.5,44,225,1,18,17,23,10000.0
2.5,90,290,1,25,9,1,51500.0
3.0,95,297,26,15,11,27,34000.0
1.4,100,255,18,23,15,24,31300.0
2.5,87,295,15,23,7,13,53600.0
5.3,54,134,13,5,3,0,41300.0
2.4,67,279,46,27,15,28,53400.0
3.7,33,174,6,13,11,28,10000.0
6.3,18,211,40,3,17,21,10000.0
8.8,0,121,46,17,1,17,70100.0
2.3,46,153,9,18,1,24,28400.0
4.5,18,297,3,10,7,27,10000.0
5.3,55,226,42,21,4,6,86600.0
7.3,84,293,4,9,19,7,12300.0
5.0,11,180,23,18,13,8,29300.0
1.4,10,148,22,11,0,9,35300.0
7.5,98,191,37,25,17,12,72900.0
1.3,6,147,11,10,10,11,10000.0
1.0,21,137,43,6,20,10,10300.0
5.1,0,199,15,5,14,11,10000.0
4.4,9,170,1,4,7,25,10000.0
1.2,19,209,15,19,0,16,35600.0
2.1,52,139,45,8,12,11,41800.0
8.3,22,165,44,16,11,18,51200.0
1.8,79,273,29,8,17,18,16300.0
1.7,5,237,32,18,19,10,15900.0
3.6,57,162,6,22,20,12,11300.0
2.4,11,95,8,24,6,6,34100.0
6.4,73,85,46,19,20,20,49200.0
6.6,66,295,13,18,13,19,28000.0
6.3,42,114,24,7,2,9,46700.0
4.2,4,281,29,1,5,20,10100.0
6.4,94,151,39,8,0,16,76000.0
6.5,18,101,5,8,19,12,10000.0
4.3,5,223,5,3,15,15,10000.0
6.6,20,94,8,7,2,12,21700.0
7.2,70,154,35,0,5,27,33400.0
2.0,63,206,30,11,18,9,24400.0
1.8,40,296,8,4,4,26,10000.0
1.9,85,172,2,2,5,10,14300.0
9.4,45,223,8,3,16,8,10000.0
2.7,74,157,45,10,4,6,73600.0
9.7,97,161,42,20,0,2,118500.0
7.0,55,225,8,30,7,13,56500.0
6.5,2,144,45,24,12,18,52600.0
7.9,66,188,46,11,5,2,86100.0
6.2,38,127,20,21,2,20,51300.0
4.3,31,132,34,6,9,3,39900.0
6.7,62,279,34,10,3,7,68000.0
4.5,0,82,7,3,1,10,10000.0
9.2,47,232,29,22,16,8,54500.0
4.1,34,184,11,15,14,11,12900.0
2.4,31,153,15,7,9,0,21600.0
2.7,79,291,24,19,20,28,13600.0
7.3,85,101,10,2,5,28,15100.0
1.5,20,196,14,2,17,25,10000.0
8.9,87,152,25,13,20,24,24400.0
7.7,14,106,35,28,8,22,58600.0
7.0,27,90,8,28,12,13,35100.0
9.8,60,122,13,4,8,11,29600.0
9.6,70,248,10,11,1,17,47700.0
1.4,52,244,10,2,9,25,10000.0
5.5,20,123,17,9,14,5,14500.0
6.6,67,119,22,25,2,3,85800.0
6.9,34,246,37,20,2,23,64000.0
6.9,48,290,37,19,14,13,52700.0
1.6,38,249,29,26,11,20,40600.0
6.9,73,258,28,19,3,2,84200.0
5.6,18,194,29,5,18,20,10000.0
2.9,3,224,2,30,15,11,12700.0
1.2,41,186,7,26,0,2,58700.0
8.2,93,117,0,23,8,17,45800.0
8.8,30,157,5,18,19,2,18600.0
2.1,27,296,26,14,18,19,10000.0
4.1,82,271,8,9,13,7,21300.0
7.4,60,249,17,27,15,19,41300.0
7.5,58,153,36,21,7,5,80900.0
8.6,81,259,11,22,0,1,84500.0
2.4,11,86,50,16,6,20,50100.0
6.3,11,122,49,5,7,20,38400.0
3.7,5,176,13,23,15,2,24400.0
6.9,67,161,11,3,6,1,36400.0
6.2,27,273,29,12,13,17,24500.0
5.3,34,105,20,20,17,21,15800.0
6.2,65,147,42,6,8,28,38900.0
6.6,49,239,0,23,16,19,11400.0
9.8,71,145,45,10,17,17,49900.0
6.4,96,235,30,0,19,7,26600.0
7.4,89,152,44,8,4,13,76500.0
6.4,73,283,16,8,14,27,10000.0
2.6,45,154,12,26,6,16,41700.0
1.7,22,154,0,3,5,23,10000.0
7.0,17,274,48,3,17,5,32600.0
3.4,56,148,4,8,15,0,10000.0
9.5,71,116,0,20,13,18,26300.0
3.4,59,114,5,6,18,11,10000.0
7.9,10,89,37,30,9,3,79800.0
3.6,58,215,32,22,20,12,37600.0
4.8,65,219,18,17,17,11,27600.0
1.5,28,201,29,29,18,11,36900.0
1.9,8,207,39,1,17,20,10000.0
1.6,1,291,41,18,11,8,41500.0
5.5,73,254,38,18,6,23,62900.0
1.4,69,260,1,9,4,26,10000.0
7.3,72,128,29,0,13,3,36200.0
2.6,34,120,32,29,1,28,60900.0
7.7,2,124,4,24,10,26,10000.0
2.7,24,243,7,2,17,4,10000.0
5.4,62,230,9,28,8,24,40400.0
7.8,9,137,18,27,16,14,30800.0
1.1,11,206,25,20,9,0,42500.0
2.6,25,236,44,22,4,9,72700.0
7.8,44,101,34,26,4,25,68800.0
2.1,78,274,47,20,7,9,81600.0
2.1,31,275,14,8,1,24,13500.0
2.4,92,116,44,17,17,11,56900.0
4.4,11,82,20,12,3,10,34100.0
2.5,66,121,35,22,6,5,75800.0
5.2,95,118,45,3,18,18,34400.0
3.9,12,153,40,9,10,14,30900.0
7.8,35,244,13,28,1,21,58100.0
8.0,84,242,13,18,17,20,27200.0
4.9,49,118,1,30,0,28,42500.0
6.8,83,194,44,8,14,2,64500.0
8.6,69,201,27,16,19,22,28900.0
5.1,23,224,3,13,17,25,10000.0
5.3,16,172,24,15,3,20,35900.0
7.2,15,145,40,0,12,26,10000.0
5.2,99,259,28,0,4,20,40100.0
2.2,14,126,0,5,14,3,10000.0
1.6,64,173,12,10,3,26,17400.0
2.4,19,246,38,19,19,5,34000.0
4.4,57,165,2,1,10,9,10000.0
4.0,12,105,4,7,13,20,10000.0
8.9,46,282,13,20,13,0,48600.0
9.1,81,252,49,19,8,25,79000.0
2.4,32,184,23,11,17,1,18900.0
4.6,86,268,22,13,9,4,54500.0
4.1,73,174,14,14,17,3,28100.0
4.6,12,274,28,20,18,11,23800.0
9.1,68,118,18,3,15,9,22100.0
2.8,24,243,41,26,19,17,37800.0
6.2,10,281,34,21,7,18,48900.0
1.6,50,131,16,8,11,21,10000.0
4.7,27,83,10,14,3,11,31500.0
2.6,27,191,17,23,1,2,60800.0
7.6,30,195,25,30,19,9,47200.0
10.0,43,289,1,5,15,25,10000.0
7.7,51,225,12,25,20,1,39200.0
8.5,87,234,41,14,4,27,70100.0
9.8,5,199,32,18,19,16,26100.0
4.3,39,232,8,3,1,1,29800.0
1.0,86,260,1,20,2,21,33800.0
7.7,27,275,39,17,3,9,73000.0
8.2,92,161,33,23,8,19,76500.0
4.4,4,124,26,21,9,2,47500.0
8.7,22,217,40,28,5,7,89000.0
4.5,81,158,6,15,8,3,42800.0
6.6,10,107,47,8,11,25,28200.0
8.5,18,227,49,13,0,9,81900.0
3.5,7,89,10,21,14,14,10000.0
3.4,0,297,24,5,10,26,10000.0
4.3,73,268,38,1,5,11,49000.0
9.3,32,113,49,27,20,20,57700.0
6.6,34,284,36,0,16,18,10000.0
6.7,10,232,7,10,5,22,10000.0
2.0,15,129,15,26,16,17,13500.0
4.5,100,202,30,14,8,5,69000.0
3.9,40,100,46,23,4,27,65300.0
8.5,14,167,30,21,4,6,68700.0
4.2,11,270,32,17,5,14,45200.0
4.4,40,193,18,12,11,8,26800.0
5.7,40,153,26,23,9,18,47900.0
9.5,3,166,17,24,2,13,55900.0
5.8,73,245,30,2,20,22,10000.0
3.9,0,87,40,4,19,2,13800.0
4.3,65,166,46,11,0,26,64600.0
3.9,78,223,31,22,8,14,65200.0
4.7,90,92,22,18,8,28,41400.0
9.9,15,289,14,6,12,16,10000.0
3.4,11,165,50,17,18,26,23600.0
8.6,32,97,4,27,10,7,44300.0
3.1,14,181,34,23,8,25,37900.0
3.2,39,270,32,3,5,16,28600.0
7.1,59,197,21,13,1,23,47400.0
7.9,79,247,48,21,0,20,99000.0
5.9,19,132,31,27,13,10,53000.0
7.7,89,248,46,18,15,14,71100.0
2.7,95,125,12,16,1,20,47900.0
4.8,72,273,46,9,10,0,70700.0
2.5,53,209,25,25,18,26,21400.0
8.4,89,224,16,3,17,11,19000.0
6.8,42,80,2,9,17,6,10000.0
2.8,9,255,38,25,15,16,37800.0
6.9,71,92,37,14,9,6,69100.0
1.6,14,236,47,21,12,28,33900.0
2.9,63,83,0,6,4,23,10000.0
2.5,34,118,41,2,0,3,56200.0
4.7,12,80,0,28,19,0,17000.0
6.6,76,232,3,25,10,16,40500.0
4.8,93,236,7,6,8,12,25500.0
2.1,12,238,43,20,9,8,54800.0
4.2,15,225,9,3,11,22,10000.0
2.5,39,257,9,14,4,16,22700.0
9.1,59,288,33,7,9,4,57400.0
8.2,29,93,42,12,7,4,67100.0
9.1,79,296,7,7,7,10,35400.0
7.6,52,156,37,19,11,22,52300.0
1.1,69,205,1,20,8,26,11900.0
3.0,11,218,44,18,20,26,14300.0
8.2,99,88,5,13,15,6,34600.0
5.2,67,175,3,25,9,4,49000.0
3.3,69,160,36,14,16,8,44300.0
5.2,24,299,29,1,11,19,10000.0
5.2,45,167,45,24,20,17,47900.0
8.9,98,89,33,9,11,22,49700.0
2.1,35,286,3,3,11,1,10000.0
8.8,65,299,23,13,0,14,65600.0
9.9,3,120,29,27,17,22,34200.0
10.0,94,235,38,22,9,3,98200.0
4.8,90,115,30,28,2,21,83600.0
8.7,73,213,12,8,8,8,39300.0
8.4,76,119,13,26,17,2,55600.0
8.3,98,225,37,25,5,16,94500.0
1.2,73,222,15,0,14,23,10000.0
5.1,42,184,4,19,16,1,22300.0
9.1,92,146,47,21,5,3,111300.0
4.3,53,269,22,8,17,12,12500.0
6.5,86,107,1,22,17,26,12800.0
5.3,16,132,36,17,20,21,15900.0
6.6,13,173,46,26,0,9,93100.0
6.9,58,128,6,18,2,24,36200.0
6.0,21,174,29,7,1,4,51800.0
2.3,60,93,49,29,20,8,67100.0
2.8,93,267,35,1,20,5,25000.0
9.8,60,227,4,3,4,19,19100.0
1.2,74,290,1,17,4,4,39100.0
1.1,7,259,1,8,0,16,10000.0
9.6,3,265,16,1,20,18,10000.0
6.1,14,184,20,20,18,17,13400.0
8.0,32,156,30,23,8,27,47100.0
